"text";"created";"screenName"
"Galv<e3>o<U+0085> https://t.co/ScC4l5rk0X\"";2019-12-19 01:32:06;"Leostill"
"@Miltonneves @raffajuruninha @Cristiano <c9> o Vince Carter do futebol.";2019-12-19 01:32:02;"StanleyBresh"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:31:58;"manwilxmrs"
"@donfiori1 @eucaioviana @aquafharyus @heitorcandid0 @futebol_info @flumifogodagama 81 <e9> hist<f3>rico, fera. Estamos fa<U+0085> https://t.co/9T4o9sUhhJ";2019-12-19 01:31:57;"mariofla95"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:31:56;"DEuthalio"
"RT @livialaranjeira: A @joannadeassis, o @oleeonardo e o @Marcelo_Hazan tiveram acesso <e0> declara<e7><e3>o de pris<e3>o de Jean na Fl<f3>rida. De acordo<U+0085>";2019-12-19 01:31:51;"totuss__tuus"
"Obrigado pelas poucas pessoas q acreditaram em mim..
agradecer tbm as q diziam q eu s<f3> sabia jogar futebol e n teria futuro<U+0001F645><U+0001F3FE><U+200D><U+2642><U+FE0F>";2019-12-19 01:31:46;"th10sp"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:31:43;"Rodolfo_lippi"
"\"RT @notavel: De tempos em tempos um jogador se rebela contra essas praxes no futebol e informa ao staff: \\"Eu vou jogar aqui mesmo, amigo. A<U+0085>\"";2019-12-19 01:31:43;"jajuniorlima"
"RT @escudeiro_leo: <c9> pra resgatar sempre esse compilado da @a_carolinasilva 

Hora de meter a colher: 10 atletas acusados de agress<e3>o que f<U+0085>";2019-12-19 01:31:43;"luzialeticia"
"Uma quarta feira vendo o show dos amigos 
- Chit<e3>ozinho e Choror<f4> 
- Zez<e9> de Camargo e Luciano e Leonardo 

*Saudad<U+0085> https://t.co/Bv5qwuQP0c";2019-12-19 01:31:32;"Praado10"
"RT @Atilafla: N<e3>o importa o que aconte<e7>a s<e1>bado, o Flamengo tem que entrar tranquilo e jogar o futebol que sabe, o resultado final, a torci<U+0085>";2019-12-19 01:31:31;"Ianzinho010"
"RT @_arthursandes: Quem <e9> ele? <U+0001F914>

Defensor com passagem recente pelo S<e3>o Paulo, boa fase no futebol europeu e t<ed>tulo internacional no curr<ed><U+0085>";2019-12-19 01:31:28;"MantaBelen"
"Isso diz muito sobre oq <e9> o futebol brasileiro hoje. 
N<e3>o aprenderam nada com o 7x1 https://t.co/8wk1dTyNlf";2019-12-19 01:31:21;"RodriguinCRF"
"RT @caioblois: Notas oficiais, no geral, s<e3>o p<e9>ssimas. Mas essa aqui <e9> <f3>tima. Parab<e9>ns ao @SaoPauloFC que entendeu que o papel de gigante n<U+0085>";2019-12-19 01:31:20;"apurezadaflor"
"@DalhePeixe1912 @lxcxsx3 @MarinsJhonny @brunosouzaf10 @heitorcandid0 @aquafharyus @donfiori1 @futebol_info E ano qu<U+0085> https://t.co/q5eHfBpjN5";2019-12-19 01:31:15;"thiagomikael"
"RT @ffctayna: Opa, opa, to perdendo em argumentos e vou mandar a cl<e1>ssica para uma mulher que CLARAMENTE entende muito mais de futebol que<U+0085>";2019-12-19 01:31:15;"Jessy_FFC"
"RT @SantosOpressivo: Jogador de futebol n<e3>o ama clube

Ama dinheiro
Ama status

QUEM AMA CLUBE SOMOS N<d3>S TORCEDORES, NUNCA SE ESQUE<c7>AM DISS<U+0085>";2019-12-19 01:31:13;"Florziinha5"
"@PedrozoCRF @gremioww1903 @wesleymatoos_ @Esp_Interativo Meus olhos brilharem com os dribles, mas <e9> super bom conta<U+0085> https://t.co/OyfGVMnBe6";2019-12-19 01:30:58;"analauragomez18"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:30:56;"iaaeeluan"
"RT @RDTRubroNegro: MARCOS BRAZ SABENDO QUE <c9> O MELHOR DIRIGENTE DO FUTEBOL BRASILEIRO: https://t.co/ZkLrnH8ukT";2019-12-19 01:30:55;"tanakapablocrf"
"Flamengo goleia Palmeiras e p<f5>e m<e3>o na ta<e7>a da Supercopa Sub-20...  https://t.co/PY26p6oUQO";2019-12-19 01:30:55;"rafaelolmartins"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:30:54;"Matthsiq"
"Flamengo bate o Palmeiras e larga em vantagem na Supercopa Sub-20...  https://t.co/uqnRixhbVA";2019-12-19 01:30:54;"rafaelolmartins"
"RT @andrizek: Tirar algum padr<e3>o (negativo) do Liverpool pelo jogo de hoje <e9> n<e3>o conhecer o Liverpool. O time fez o m<ed>nimo hoje. Tentar<e1> fa<U+0085>";2019-12-19 01:30:47;"lucaadias"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:30:41;"ghenriquee23"
"Como eu gostaria de ver mais voleibol na TV!  Fiquei acostumada com #Superliga #Mundial <U+0001F49A><U+0001F49B><U+0001F499><U+26AA> N<e3>o <e9> pr<e1>tico passar o<U+0085> https://t.co/aUxqXNxN82";2019-12-19 01:30:39;"biafaroal"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:30:35;"gustavo_moraes3"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:30:33;"Felipeforelli"
"@DalhePeixe1912 @heitorcandid0 @aquafharyus @donfiori1 @futebol_info Time paulista t<e1> t<e3>o pequeno que virou t<ed>tulo<U+0085> https://t.co/ZbwuUGcCF4";2019-12-19 01:30:31;"LucasC19560834"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:30:31;"mrtnscarola"
"@donfiori1 @heitorcandid0 @futebol_info VIA fax. Oto pata mar. Acorda!";2019-12-19 01:30:30;"LeonardoHenning"
"@Igoralemosna @rosahelenaalve4 Na sua mentalidade s<f3> figuraremos no cen<e1>rio do futebol. Legal, n<e9>?";2019-12-19 01:30:29;"SaoMarcos12_12"
"RT @SantosFC: A inspira<e7><e3>o de qualquer jogada existente no futebol <U+0001F451> https://t.co/zwUMgamHTf";2019-12-19 01:30:28;"a_le_a_to_rio"
"Flamengo goleia Palmeiras e p<f5>e m<e3>o na ta<e7>a da Supercopa Sub-20 https://t.co/cdGjWHTrjU #flamengo";2019-12-19 01:30:26;"HoraDoFlamengo"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:30:13;"_PATROINHA_"
"S<e3>o Paulo Futebol Clube, saudades do que a gente j<e1> viveu...";2019-12-19 01:30:04;"cig4ro"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:30:03;"Leandromouracec"
"Inconformados, torcedores do S<e3>o Paulo pedem sa<ed>da de Jean e Arboleda (via @esportefera) https://t.co/r0vUY1NG53 https://t.co/8riB5reUrS";2019-12-19 01:30:00;"Estadao"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:59;"RamalhoDan"
"\"RT @notavel: De tempos em tempos um jogador se rebela contra essas praxes no futebol e informa ao staff: \\"Eu vou jogar aqui mesmo, amigo. A<U+0085>\"";2019-12-19 01:29:57;"reginabarbosw"
"RT @tricovotweets: Depois dos idolos do S<e3>o Paulo entrar em campo no Morumbi, intimidar e derrotar lendas do futebol mundial, pra honrar e<U+0085>";2019-12-19 01:29:54;"victoryanlopes"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:53;"neybrubs"
"@cris_alphawille @donfiori1 @aquafharyus @heitorcandid0 @futebol_info Ele falando assim parece at<e9> que o cara vai j<U+0085> https://t.co/r5ddMcuDpG";2019-12-19 01:29:52;"YagoYPR10"
"RT @SantosOpressivo: Jogador de futebol n<e3>o ama clube

Ama dinheiro
Ama status

QUEM AMA CLUBE SOMOS N<d3>S TORCEDORES, NUNCA SE ESQUE<c7>AM DISS<U+0085>";2019-12-19 01:29:52;"CristianoMessa"
"Em cl<e1>ssico marcado por protestos, Barcelona e Real Madrid empatam sem gols - Esportes - R7 Futebol<U+0085> https://t.co/2SOpXfZ6Av";2019-12-19 01:29:51;"al_possas"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:50;"marceloglobocom"
"Orgulho de poder estar participando deste projeto, smp agrade<e7>o ao Mauricio por me abrir as portas do MW e poder po<U+0085> https://t.co/oto5YUOFcI";2019-12-19 01:29:47;"guimb_19"
"@BosiEduardo @CeboIinhaaa E por falar em safado...
Eis a<ed> mais um canalha que usa de uma trag<e9>dia, para contestar r<U+0085> https://t.co/HURMXDb6z2";2019-12-19 01:29:39;"Batman111975"
"@futebol_info @AAlvarenga011 e aih?";2019-12-19 01:29:35;"cleberjw"
"RT @xgabrielarossi: <e9> mais que necess<e1>rio destacar a rapidez e a forma como o s<e3>o paulo se posicionou em rela<e7><e3>o ao caso jean. que sirva de<U+0085>";2019-12-19 01:29:33;"mariaclasb"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:27;"anjoscrf28"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:26;"esf_gabriel"
